name	len	score	pvalue
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40000_classid_0	1026	0.9997637271881104	0.0021149633658131277
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40001_classid_0	1026	7.555388947366737e-06	0.7936588866228567
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40002_classid_1	1026	0.3125590682029724	0.1163418687212025
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40003_classid_1	1026	0.9999754428863525	0.000849762066621346
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40004_classid_0	1026	0.0007964257383719087	0.5245486819246167
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40005_classid_1	1026	0.6942507028579712	0.03351839262784198
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40006_classid_1	1026	1.0	0.0
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40007_classid_1	1026	0.9999982714653015	0.0004343228340509102
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40008_classid_0	1026	1.5509258446400054e-05	0.7610280232645971
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40009_classid_1	1026	0.9317487478256226	0.015465669612508498
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40010_classid_1	1026	0.9999858140945435	0.0007931112621799229
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40011_classid_0	1026	2.116152018061257e-07	0.9138718936475565
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40012_classid_0	1026	5.897320320968902e-08	0.9402522849157792
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40013_classid_1	1026	0.9752756953239441	0.009876123574288088
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40014_classid_0	1026	0.025713108479976654	0.277985497394063
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40015_classid_1	1026	0.9733246564865112	0.010178261197975678
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40016_classid_0	1026	0.006384615320712328	0.37508497620666215
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40017_classid_1	1026	0.9999984502792358	0.0004343228340509102
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40018_classid_0	1026	1.9311251264753082e-07	0.9159679734118891
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40019_classid_0	1026	0.2672477066516876	0.1276153788050457
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40020_classid_0	1026	0.7945728302001953	0.025738348817886548
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40021_classid_0	1026	0.0005383992684073746	0.5514389304328121
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40022_classid_1	1026	0.9999856352806091	0.0007931112621799229
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40023_classid_0	1026	4.038226961711189e-06	0.8213422463932322
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40024_classid_1	1026	0.9999974370002747	0.0004909736384923332
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40025_classid_1	1026	1.0	0.0
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40026_classid_0	1026	0.02194865606725216	0.28852254702016766
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40027_classid_0	1026	1.6224413812437888e-08	0.9591925372006949
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40028_classid_1	1026	1.0	0.0
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40029_classid_0	1026	0.03753846883773804	0.2536823022886925
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40030_classid_1	1026	0.7454878091812134	0.02947730191102047
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40031_classid_0	1026	0.01206070464104414	0.32942442782687514
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40032_classid_0	1026	0.3378413915634155	0.11054460306669688
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40033_classid_0	1026	3.6293144045629333e-09	0.9753002492635395
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40034_classid_0	1026	0.0002483148709870875	0.6022169348138077
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40035_classid_0	1026	2.451158609417803e-09	0.9781327894856107
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40036_classid_1	1026	0.9730172157287598	0.010197144799456152
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40037_classid_1	1026	0.2978569269180298	0.11979756779212931
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40038_classid_0	1026	6.891124257890624e-07	0.8822040939648009
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40039_classid_0	1026	0.12117849290370941	0.17831784878011933
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40040_classid_1	1026	0.9480388164520264	0.013879447088148651
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40041_classid_0	1026	0.006618536077439785	0.3725545736082786
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40042_classid_1	1026	0.9005104303359985	0.017656167384243523
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40043_classid_1	1026	0.9992636442184448	0.0031535614472392175
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40044_classid_0	1026	0.0025090330746024847	0.4432358939496941
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40045_classid_0	1026	0.0006008724449202418	0.5441309766598685
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40046_classid_0	1026	0.5158405900001526	0.05561220635999698
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40047_classid_0	1026	4.556348187634285e-09	0.9731097514918046
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40048_classid_0	1026	0.13867169618606567	0.17014124933907396
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40049_classid_0	1026	0.0029188781045377254	0.4324533575043432
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40050_classid_0	1026	5.3633029892807826e-05	0.695180904902183
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40051_classid_0	1026	0.00684224022552371	0.37036407583654357
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40052_classid_1	1026	0.9696922302246094	0.010914721655714178
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40053_classid_1	1026	0.9997587203979492	0.0021527305687740767
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40054_classid_1	1026	1.0	0.0
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40055_classid_1	1026	0.9999978542327881	0.0004720900370118589
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40056_classid_1	1026	0.9999623894691467	0.0010574816829065639
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40057_classid_1	1026	0.9999969601631165	0.0005098572399728076
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40058_classid_1	1026	0.993454098701477	0.006647027721126973
LCA_seed33_repr_k6_Pshort0_1024_s4000_k6s1_recid_40059_classid_0	1026	0.9935682415962219	0.0066092605181660245
